UID,Base,Points,FullCode
1,99,3,C0001099003
2,99,3,C0002099003
3,99,3,C0003099003
4,99,3,C0004099003
5,99,3,C0005099003
6,99,3,C0006099003
7,99,3,C0007099003
8,99,3,C0008099003
9,99,3,C0009099003
10,99,3,C0010099003
11,99,3,C0011099003
12,99,3,C0012099003
13,99,3,C0013099003
14,99,3,C0014099003
15,99,3,C0015099003
16,99,3,C0016099003
17,99,3,C0017099003
18,99,3,C0018099003
19,99,3,C0019099003
20,99,3,C0020099003
21,99,3,C0021099003
22,99,3,C0022099003
23,99,3,C0023099003
24,99,3,C0024099003
25,99,3,C0025099003
26,99,3,C0026099003
27,99,3,C0027099003
28,99,3,C0028099003
29,99,3,C0029099003
30,99,3,C0030099003
31,99,3,C0031099003
32,99,3,C0032099003
33,99,3,C0033099003
34,99,3,C0034099003
35,99,3,C0035099003
36,99,3,C0036099003
37,99,3,C0037099003
38,99,3,C0038099003
39,99,3,C0039099003
40,99,3,C0040099003
41,99,3,C0041099003
42,99,3,C0042099003
43,99,3,C0043099003
44,99,3,C0044099003
45,99,3,C0045099003
46,99,3,C0046099003
47,99,3,C0047099003
48,99,3,C0048099003
49,99,3,C0049099003
50,99,3,C0050099003
51,99,3,C0051099003
52,99,3,C0052099003
53,99,3,C0053099003
54,99,3,C0054099003
55,99,3,C0055099003
56,99,3,C0056099003
57,99,3,C0057099003
58,99,3,C0058099003
59,99,3,C0059099003
60,99,3,C0060099003
61,99,3,C0061099003
62,99,3,C0062099003
63,99,3,C0063099003
64,99,3,C0064099003
65,99,3,C0065099003
66,99,3,C0066099003
67,99,3,C0067099003
68,99,3,C0068099003
69,99,3,C0069099003
70,99,3,C0070099003
71,99,3,C0071099003
72,99,3,C0072099003
73,99,3,C0073099003
74,99,3,C0074099003
75,99,3,C0075099003
76,99,3,C0076099003
77,99,3,C0077099003
78,99,3,C0078099003
79,99,3,C0079099003
80,99,3,C0080099003
1,99,5,C0001099005
2,99,5,C0002099005
3,99,5,C0003099005
4,99,5,C0004099005
5,99,5,C0005099005
6,99,5,C0006099005
7,99,5,C0007099005
8,99,5,C0008099005
9,99,5,C0009099005
10,99,5,C0010099005
11,99,5,C0011099005
12,99,5,C0012099005
13,99,5,C0013099005
14,99,5,C0014099005
15,99,5,C0015099005
16,99,5,C0016099005
17,99,5,C0017099005
18,99,5,C0018099005
19,99,5,C0019099005
20,99,5,C0020099005
21,99,5,C0021099005
22,99,5,C0022099005
23,99,5,C0023099005
24,99,5,C0024099005
25,99,5,C0025099005
